x-axis,2
second,Volt
-50.000000E+00,+966.269E-03
-49.992188E+00,+982.349E-03
-49.984375E+00,+974.309E-03
-49.976563E+00,+974.309E-03
-49.968750E+00,+966.269E-03
-49.960938E+00,+958.229E-03
-49.953125E+00,+958.229E-03
-49.945313E+00,+974.309E-03
-49.937500E+00,+958.229E-03
-49.929688E+00,+958.229E-03
-49.921875E+00,+966.269E-03
-49.914063E+00,+958.229E-03
-49.906250E+00,+942.148E-03
-49.898438E+00,+958.229E-03
-49.890625E+00,+958.229E-03
-49.882813E+00,+958.229E-03
-49.875000E+00,+950.188E-03
-49.867188E+00,+966.269E-03
-49.859375E+00,+966.269E-03
-49.851563E+00,+966.269E-03
-49.843750E+00,+958.229E-03
-49.835938E+00,+966.269E-03
-49.828125E+00,+966.269E-03
-49.820313E+00,+958.229E-03
-49.812500E+00,+974.309E-03
-49.804688E+00,+966.269E-03
-49.796875E+00,+966.269E-03
-49.789063E+00,+966.269E-03
-49.781250E+00,+958.229E-03
-49.773438E+00,+966.269E-03
-49.765625E+00,+966.269E-03
-49.757813E+00,+982.349E-03
-49.750000E+00,+958.229E-03
-49.742188E+00,+974.309E-03
-49.734375E+00,+974.309E-03
-49.726563E+00,+974.309E-03
-49.718750E+00,+966.269E-03
-49.710938E+00,+990.389E-03
-49.703125E+00,+990.389E-03
-49.695313E+00,+982.349E-03
-49.687500E+00,+990.389E-03
-49.679688E+00,+990.389E-03
-49.671875E+00,+982.349E-03
-49.664063E+00,+990.389E-03
-49.656250E+00,+990.389E-03
-49.648438E+00,+1.014510E+00
-49.640625E+00,+990.389E-03
-49.632813E+00,+1.006470E+00
-49.625000E+00,+1.022550E+00
-49.617188E+00,+1.030590E+00
-49.609375E+00,+1.030590E+00
-49.601563E+00,+1.014510E+00
-49.593750E+00,+1.022550E+00
-49.585938E+00,+1.014510E+00
-49.578125E+00,+1.014510E+00
-49.570313E+00,+1.030590E+00
-49.562500E+00,+1.022550E+00
-49.554688E+00,+1.038631E+00
-49.546875E+00,+1.030590E+00
-49.539063E+00,+1.054711E+00
-49.531250E+00,+1.054711E+00
-49.523438E+00,+1.046671E+00
-49.515625E+00,+1.038631E+00
-49.507813E+00,+1.046671E+00
-49.500000E+00,+1.046671E+00
-49.492188E+00,+1.062751E+00
-49.484375E+00,+1.054711E+00
-49.476563E+00,+1.046671E+00
-49.468750E+00,+1.054711E+00
-49.460938E+00,+1.070791E+00
-49.453125E+00,+1.078832E+00
-49.445313E+00,+1.070791E+00
-49.437500E+00,+1.062751E+00
-49.429688E+00,+1.086872E+00
-49.421875E+00,+1.094912E+00
-49.414063E+00,+1.070791E+00
-49.406250E+00,+1.102952E+00
-49.398438E+00,+1.102952E+00
-49.390625E+00,+1.070791E+00
-49.382813E+00,+1.094912E+00
-49.375000E+00,+1.094912E+00
-49.367188E+00,+1.094912E+00
-49.359375E+00,+1.094912E+00
-49.351563E+00,+1.102952E+00
-49.343750E+00,+1.102952E+00
-49.335938E+00,+1.102952E+00
-49.328125E+00,+1.094912E+00
-49.320313E+00,+1.094912E+00
-49.312500E+00,+1.102952E+00
-49.304688E+00,+1.102952E+00
-49.296875E+00,+1.094912E+00
-49.289063E+00,+1.102952E+00
-49.281250E+00,+1.102952E+00
-49.273438E+00,+1.102952E+00
-49.265625E+00,+1.094912E+00
-49.257813E+00,+1.094912E+00
-49.250000E+00,+1.094912E+00
-49.242188E+00,+1.102952E+00
-49.234375E+00,+1.094912E+00
-49.226563E+00,+1.119033E+00
-49.218750E+00,+1.094912E+00
-49.210938E+00,+1.094912E+00
-49.203125E+00,+1.110992E+00
-49.195313E+00,+1.102952E+00
-49.187500E+00,+1.094912E+00
-49.179688E+00,+1.094912E+00
-49.171875E+00,+1.094912E+00
-49.164063E+00,+1.086872E+00
-49.156250E+00,+1.086872E+00
-49.148438E+00,+1.086872E+00
-49.140625E+00,+1.086872E+00
-49.132813E+00,+1.078832E+00
-49.125000E+00,+1.070791E+00
-49.117188E+00,+1.078832E+00
-49.109375E+00,+1.062751E+00
-49.101563E+00,+1.070791E+00
-49.093750E+00,+1.062751E+00
-49.085938E+00,+1.062751E+00
-49.078125E+00,+1.062751E+00
-49.070313E+00,+1.046671E+00
-49.062500E+00,+1.038631E+00
-49.054688E+00,+1.054711E+00
-49.046875E+00,+1.038631E+00
-49.039063E+00,+1.062751E+00
-49.031250E+00,+1.030590E+00
-49.023438E+00,+1.030590E+00
-49.015625E+00,+1.006470E+00
-49.007813E+00,+1.014510E+00
-49.000000E+00,+1.022550E+00
-48.992188E+00,+1.022550E+00
-48.984375E+00,+1.022550E+00
-48.976563E+00,+1.014510E+00
-48.968750E+00,+1.022550E+00
-48.960938E+00,+998.430E-03
-48.953125E+00,+990.389E-03
-48.945313E+00,+982.349E-03
-48.937500E+00,+982.349E-03
-48.929688E+00,+974.309E-03
